,INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
14,64,NO,0.000,0,36,3,12,"$56,048",No,"$137,836",Yes,M,Masters,Lawyer,15,Private,"$10,700",6,Minivan,no,"$2,045",2,No,2,16,Highly Urban/ Urban
15,68,NO,0.000,0,34,3,12,"$22,510",No,"$123,888",Yes,M,z_High School,Clerical,26,Private,"$14,690",4,Minivan,yes,$0,0,Yes,0,1,z_Highly Rural/ Rural
16,75,YES,"2,682.210",0,35,2,12,,Yes,$0,z_No,z_F,<High School,z_Blue Collar,43,Private,"$9,730",5,z_SUV,no,$0,0,No,4,4,Highly Urban/ Urban
17,76,NO,0.000,2,44,2,14,"$45,576",No,"$156,623",Yes,z_F,<High School,z_Blue Collar,27,Private,"$1,500",4,Sports Car,no,"$25,276",1,No,8,NA,Highly Urban/ Urban
18,83,NO,0.000,0,48,0,9,"$61,509",No,"$195,438",Yes,M,Masters,,40,Commercial,"$23,230",6,Panel Truck,yes,$0,0,No,1,17,Highly Urban/ Urban
19,87,YES,"3,175.040",0,62,0,15,"$40,656",No,"$208,242",Yes,z_F,z_High School,Clerical,57,Private,"$9,170",4,Sports Car,no,"$42,342",2,Yes,2,7,Highly Urban/ Urban
20,92,NO,0.000,0,39,0,11,"$33,727",No,$0,z_No,z_F,Bachelors,Clerical,27,Private,"$10,850",1,z_SUV,no,"$8,350",1,No,2,12,Highly Urban/ Urban
21,98,NO,0.000,0,38,0,0,$0,No,$0,Yes,M,z_High School,Student,41,Commercial,"$17,470",10,Van,no,"$3,157",2,No,5,6,z_Highly Rural/ Rural
22,106,NO,0.000,0,39,2,0,$0,No,"$69,369",Yes,z_F,z_High School,Home Maker,36,Private,"$8,750",4,Sports Car,no,$0,0,No,0,8,Highly Urban/ Urban
23,107,NO,0.000,2,44,2,13,"$142,588",No,"$365,256",Yes,M,Masters,Manager,28,Private,"$21,790",6,Minivan,yes,$0,0,No,2,9,Highly Urban/ Urban
24,113,NO,0.000,0,45,0,12,"$32,394",No,$0,z_No,z_F,z_High School,Clerical,33,Private,"$13,770",4,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
25,120,NO,0.000,0,43,1,0,$0,No,"$70,170",Yes,z_F,Bachelors,Home Maker,26,Private,"$8,350",1,z_SUV,no,$0,0,No,3,7,Highly Urban/ Urban
26,123,NO,0.000,0,64,0,15,"$31,738",No,"$197,010",Yes,M,<High School,z_Blue Collar,23,Commercial,"$14,620",6,z_SUV,no,"$3,994",2,No,0,1,Highly Urban/ Urban
27,125,YES,"2,499.957",0,60,0,9,"$125,893",No,$0,z_No,M,PhD,,21,Commercial,"$7,500",9,Pickup,yes,"$7,278",2,No,4,15,Highly Urban/ Urban
28,126,NO,0.000,2,35,4,6,"$154,577",Yes,"$397,868",z_No,z_F,Bachelors,z_Blue Collar,27,Private,"$20,450",6,z_SUV,no,"$4,645",1,No,3,1,Highly Urban/ Urban
29,128,NO,0.000,0,52,0,11,"$79,348",No,"$270,032",Yes,z_F,z_High School,Manager,23,Private,"$13,150",11,z_SUV,no,$0,0,No,2,1,Highly Urban/ Urban
30,129,NO,0.000,0,56,2,14,"$192,089",No,"$471,701",Yes,M,PhD,,31,Commercial,"$21,100",1,Van,yes,$0,0,No,0,NA,Highly Urban/ Urban
31,131,NO,0.000,0,55,0,15,"$108,152",No,"$329,756",Yes,z_F,Masters,Manager,18,Private,"$12,320",1,z_SUV,no,$0,0,Yes,0,15,Highly Urban/ Urban
32,135,YES,"4,041.151",0,26,0,8,"$53,244",No,$0,z_No,M,Bachelors,Professional,28,Commercial,"$20,920",3,Van,yes,"$6,224",1,No,1,8,Highly Urban/ Urban
33,141,NO,0.000,0,52,0,8,"$88,560",No,"$244,028",Yes,M,Masters,Lawyer,14,Private,"$13,630",1,Minivan,no,$0,0,No,4,17,Highly Urban/ Urban
34,147,NO,0.000,0,41,0,12,"$110,386",No,"$335,488",Yes,M,Masters,,21,Commercial,"$16,640",1,Van,yes,$0,0,No,2,14,Highly Urban/ Urban
35,148,NO,0.000,0,49,0,12,"$53,765",No,$0,z_No,z_F,Bachelors,Professional,5,Private,"$12,360",4,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
36,151,NO,0.000,0,30,2,NA,"$26,226",No,"$165,178",Yes,z_F,z_High School,Clerical,68,Private,"$23,610",4,z_SUV,no,$0,0,No,1,1,z_Highly Rural/ Rural
37,156,NO,0.000,1,34,3,12,"$29,431",No,"$143,149",Yes,z_F,<High School,Clerical,12,Private,"$22,560",1,Minivan,no,$0,0,No,1,NA,Highly Urban/ Urban
38,157,NO,0.000,0,44,0,14,"$44,790",No,"$205,463",Yes,z_F,Masters,,5,Commercial,"$19,800",4,Pickup,no,"$37,163",1,No,4,9,Highly Urban/ Urban
39,174,NO,0.000,0,49,0,NA,"$38,326",No,"$133,010",Yes,M,Masters,Lawyer,5,Private,"$10,230",4,Pickup,yes,$0,0,No,0,17,Highly Urban/ Urban
40,186,YES,"5,060.665",1,40,2,12,"$35,260",No,"$141,167",Yes,z_F,<High School,z_Blue Collar,30,Private,"$9,740",7,z_SUV,no,"$2,235",1,No,8,1,Highly Urban/ Urban
41,193,YES,"2,472.893",0,26,3,9,"$33,283",No,"$104,323",Yes,M,Bachelors,z_Blue Collar,37,Commercial,"$7,690",10,Pickup,no,$0,0,No,2,16,Highly Urban/ Urban
42,195,NO,0.000,0,46,0,7,"$26,697",No,"$134,863",Yes,z_F,<High School,Clerical,43,Private,"$15,080",6,z_SUV,no,$0,0,Yes,4,1,Highly Urban/ Urban
43,212,NO,0.000,0,50,0,7,"$73,308",No,"$240,645",z_No,M,Masters,Lawyer,38,Private,"$18,720",7,Van,no,$0,0,No,2,19,z_Highly Rural/ Rural
44,213,YES,"3,342.274",0,62,0,12,"$22,181",No,"$185,459",z_No,z_F,z_High School,Clerical,24,Private,"$17,880",7,Sports Car,no,"$9,873",3,No,5,1,Highly Urban/ Urban
45,217,NO,0.000,0,53,1,13,"$52,759",No,"$164,906",Yes,z_F,Bachelors,Professional,41,Private,"$24,160",9,Minivan,no,$0,0,No,0,13,z_Highly Rural/ Rural
46,223,NO,0.000,0,44,0,4,"$146,267",No,"$357,184",Yes,M,Masters,,51,Commercial,"$6,720",4,Pickup,no,$0,0,No,0,10,Highly Urban/ Urban
47,226,NO,0.000,0,48,1,10,"$84,629",No,"$308,848",Yes,z_F,Bachelors,Manager,35,Private,"$15,060",7,z_SUV,no,"$9,592",1,No,0,10,Highly Urban/ Urban
48,228,YES,"2,436.033",1,45,2,17,"$111,268",No,"$288,071",Yes,z_F,Masters,Lawyer,46,Private,"$24,600",1,Van,no,"$28,026",2,Yes,2,10,Highly Urban/ Urban
49,230,NO,0.000,0,41,0,10,"$97,700",No,$0,z_No,z_F,Bachelors,Home Maker,43,Private,"$26,250",8,Pickup,no,$0,0,No,0,6,z_Highly Rural/ Rural
50,241,YES,"2,028.780",0,32,3,13,"$30,955",Yes,"$111,256",z_No,z_F,z_High School,Clerical,9,Private,"$7,800",4,z_SUV,no,$0,0,Yes,0,8,Highly Urban/ Urban
51,243,NO,0.000,0,49,1,15,"$89,612",No,"$261,946",Yes,M,Masters,Professional,23,Commercial,"$6,400",10,Pickup,yes,$0,0,No,0,23,Highly Urban/ Urban
52,249,NO,0.000,0,41,0,12,"$80,718",No,$0,z_No,z_F,Bachelors,Professional,29,Private,"$26,480",11,Sports Car,no,"$8,623",3,No,5,8,Highly Urban/ Urban
53,281,YES,"4,575.309",1,44,2,15,"$46,140",No,"$169,084",Yes,M,z_High School,z_Blue Collar,29,Commercial,"$10,510",1,Pickup,no,"$4,276",3,No,7,1,Highly Urban/ Urban
54,288,NO,0.000,0,47,0,12,"$80,105",No,$0,z_No,M,Masters,Manager,29,Private,"$14,210",6,Minivan,yes,$0,0,No,1,12,Highly Urban/ Urban
55,294,NO,0.000,2,41,2,8,,No,$0,Yes,M,<High School,Student,43,Commercial,"$5,850",1,Pickup,yes,"$9,419",1,No,5,6,z_Highly Rural/ Rural
56,295,NO,0.000,0,41,2,10,"$78,675",Yes,"$265,450",z_No,M,Bachelors,z_Blue Collar,33,Commercial,"$13,470",11,Minivan,yes,$0,0,No,0,3,Highly Urban/ Urban
57,300,NO,0.000,0,50,0,10,"$219,024",No,$0,z_No,M,PhD,,27,Commercial,"$23,370",4,Panel Truck,yes,"$4,117",2,No,4,20,Highly Urban/ Urban
58,302,NO,0.000,0,51,0,10,"$55,573",No,$0,z_No,z_F,Masters,Lawyer,18,Private,"$12,160",1,z_SUV,no,"$9,768",1,No,6,14,Highly Urban/ Urban
59,303,NO,0.000,0,53,0,8,"$61,862",No,"$245,885",Yes,M,PhD,Doctor,33,Private,"$11,270",1,Pickup,yes,$0,0,No,0,14,Highly Urban/ Urban
60,308,NO,0.000,0,32,3,14,"$21,944",No,"$128,776",Yes,z_F,<High School,z_Blue Collar,34,Private,"$7,270",1,z_SUV,no,$0,0,Yes,1,1,Highly Urban/ Urban
61,319,NO,0.000,0,48,0,14,"$42,008",No,"$176,219",Yes,z_F,Masters,Lawyer,23,Private,"$10,000",4,z_SUV,no,$0,0,No,0,14,z_Highly Rural/ Rural
62,320,NO,0.000,0,54,0,8,"$90,149",No,"$261,569",Yes,z_F,Masters,Manager,17,Private,"$15,910",4,z_SUV,no,$0,0,No,1,10,Highly Urban/ Urban
63,324,NO,0.000,0,55,0,15,"$75,249",No,$0,z_No,M,Masters,,5,Commercial,"$17,020",1,Van,yes,"$1,316",2,No,1,21,Highly Urban/ Urban
64,331,NO,0.000,0,51,0,11,"$117,016",No,$0,z_No,z_F,Masters,Manager,23,Private,"$20,320",4,Minivan,no,"$1,197",2,No,6,8,Highly Urban/ Urban
65,343,NO,0.000,0,47,0,7,"$76,462",No,"$229,334",Yes,M,Bachelors,Professional,29,Private,"$13,850",6,Minivan,yes,$0,0,No,0,7,Highly Urban/ Urban
66,347,NO,0.000,0,44,1,NA,$0,No,"$70,461",Yes,z_F,Masters,Home Maker,19,Private,"$2,640",4,Sports Car,no,"$2,219",2,No,1,13,Highly Urban/ Urban
67,348,YES,"4,688.317",0,36,0,13,"$20,891",No,"$134,406",Yes,z_F,z_High School,z_Blue Collar,39,Commercial,"$5,100",1,z_SUV,no,"$2,949",2,No,9,7,Highly Urban/ Urban
68,350,YES,"4,150.839",0,35,2,10,"$17,493",Yes,"$102,902",z_No,z_F,<High School,Clerical,52,Private,"$19,340",9,Minivan,no,"$5,658",3,No,7,1,Highly Urban/ Urban
69,357,NO,0.000,0,43,0,11,"$39,848",No,"$136,304",z_No,z_F,Masters,Lawyer,45,Private,"$18,060",8,z_SUV,no,$0,0,No,0,15,Highly Urban/ Urban
70,358,NO,0.000,0,42,1,12,"$117,978",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,17,Commercial,"$28,700",1,z_SUV,no,$0,0,No,0,7,z_Highly Rural/ Rural
71,360,NO,0.000,0,56,0,12,"$62,483",No,,Yes,z_F,Bachelors,Manager,18,Private,"$20,940",6,Minivan,no,$0,0,No,0,8,Highly Urban/ Urban
72,366,NO,0.000,0,39,0,14,"$73,367",No,$0,z_No,M,Bachelors,Professional,36,Private,"$12,740",6,Minivan,yes,"$3,320",1,No,4,7,Highly Urban/ Urban
73,367,NO,0.000,0,32,4,15,"$4,478",Yes,$0,z_No,z_F,<High School,Student,7,Private,"$6,780",4,z_SUV,no,"$7,181",3,No,5,8,Highly Urban/ Urban
74,368,NO,0.000,0,44,1,9,"$5,952",No,$0,Yes,M,Bachelors,Student,22,Commercial,"$6,500",4,Pickup,yes,$0,0,No,0,10,Highly Urban/ Urban
75,376,YES,"2,618.648",0,44,1,11,"$75,046",No,"$244,819",Yes,M,z_High School,z_Blue Collar,56,Commercial,"$9,000",4,Pickup,yes,"$3,288",3,No,6,10,Highly Urban/ Urban
76,380,NO,0.000,0,38,0,10,"$75,432",No,$0,z_No,z_F,Bachelors,Manager,51,Private,"$16,260",1,z_SUV,no,"$8,035",3,No,0,13,Highly Urban/ Urban
77,388,NO,0.000,0,35,3,13,"$64,872",No,"$187,354",Yes,z_F,<High School,Clerical,44,Private,"$11,490",1,z_SUV,no,$0,0,No,3,8,Highly Urban/ Urban
78,396,NO,0.000,0,55,0,14,"$66,964",No,$0,z_No,M,Masters,Lawyer,47,Private,"$13,700",6,Minivan,yes,"$6,183",3,No,3,18,Highly Urban/ Urban
79,398,NO,0.000,0,42,2,11,"$34,210",No,"$186,734",Yes,M,z_High School,Clerical,34,Private,"$12,880",6,Minivan,yes,"$1,830",1,No,0,1,Highly Urban/ Urban
80,403,NO,0.000,1,43,2,11,"$24,124",No,"$157,794",Yes,z_F,<High School,z_Blue Collar,40,Private,"$8,140",7,z_SUV,no,$0,0,No,0,1,z_Highly Rural/ Rural
81,410,YES,"2,191.716",0,44,0,12,"$39,852",No,"$125,283",Yes,z_F,z_High School,z_Blue Collar,37,Commercial,"$7,410",1,z_SUV,no,"$3,704",2,No,0,6,Highly Urban/ Urban
82,412,NO,0.000,0,51,0,13,"$65,702",No,$0,z_No,z_F,Masters,Lawyer,27,Private,"$15,820",1,z_SUV,no,"$7,181",2,No,3,1,Highly Urban/ Urban
83,420,NO,0.000,0,34,1,12,"$68,833",No,"$183,087",Yes,z_F,Bachelors,Clerical,35,Commercial,"$21,940",4,Pickup,no,"$1,494",2,No,3,9,Highly Urban/ Urban
84,434,NO,0.000,1,40,2,6,"$54,159",No,"$180,764",Yes,M,<High School,z_Blue Collar,65,Private,"$16,920",10,Van,yes,$0,0,No,1,1,z_Highly Rural/ Rural
85,440,YES,"1,762.869",0,37,3,17,"$6,217",No,$0,Yes,z_F,z_High School,Student,27,Commercial,"$22,260",10,Pickup,no,$0,0,Yes,0,4,Highly Urban/ Urban
86,450,YES,"4,400.423",0,58,0,14,"$39,707",No,"$192,089",Yes,M,<High School,z_Blue Collar,29,Commercial,"$16,870",1,Van,yes,"$3,546",1,No,6,6,Highly Urban/ Urban
87,453,NO,0.000,0,50,0,10,"$24,358",No,"$128,210",Yes,M,<High School,z_Blue Collar,11,Private,"$17,790",3,Van,no,$0,0,Yes,0,7,Highly Urban/ Urban
88,464,NO,0.000,0,46,0,7,"$106,409",No,$0,z_No,z_F,Masters,,42,Commercial,"$24,410",6,Pickup,no,"$6,948",1,No,0,18,Highly Urban/ Urban
89,465,NO,0.000,0,53,0,14,"$59,797",No,"$178,230",Yes,z_F,PhD,Doctor,35,Private,"$18,070",4,Minivan,no,$0,0,No,0,16,Highly Urban/ Urban
90,466,YES,"5,623.520",0,63,2,10,"$52,064",No,,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,770",1,Sports Car,no,$834,2,No,8,1,Highly Urban/ Urban
91,473,NO,0.000,0,53,0,7,"$77,012",No,"$316,239",Yes,M,PhD,Doctor,22,Private,"$21,440",1,Van,no,"$8,744",2,No,0,13,Highly Urban/ Urban
92,476,NO,0.000,0,36,0,11,"$17,085",No,$0,Yes,z_F,z_High School,Student,58,Private,"$15,840",7,Sports Car,no,"$4,070",2,No,2,1,z_Highly Rural/ Rural
93,478,NO,0.000,0,43,0,13,"$238,856",No,,Yes,M,Masters,,19,Commercial,"$29,690",11,Panel Truck,yes,$0,0,No,0,22,Highly Urban/ Urban
94,479,NO,0.000,0,54,0,12,"$69,625",No,"$271,183",Yes,z_F,Bachelors,Manager,51,Private,"$22,340",1,z_SUV,no,"$3,155",1,No,2,12,Highly Urban/ Urban
95,493,NO,0.000,0,39,3,16,"$42,535",No,"$189,139",Yes,M,z_High School,Clerical,22,Commercial,"$19,330",4,Van,yes,$0,0,No,1,8,z_Highly Rural/ Rural
96,497,NO,0.000,1,43,2,14,"$81,674",No,"$233,744",Yes,M,Bachelors,Manager,39,Commercial,"$34,680",1,Panel Truck,no,$0,0,No,1,10,Highly Urban/ Urban
97,503,NO,0.000,0,51,0,13,"$34,658",No,"$159,187",Yes,M,Bachelors,Professional,31,Private,"$15,660",1,Minivan,no,$0,0,No,0,11,z_Highly Rural/ Rural
98,504,NO,0.000,0,42,0,0,$0,No,$0,z_No,z_F,z_High School,Home Maker,5,Private,"$25,540",1,Sports Car,no,$0,0,No,0,1,Highly Urban/ Urban
99,505,NO,0.000,0,41,0,6,"$86,227",No,"$237,057",z_No,M,Masters,,28,Commercial,"$19,530",9,Van,no,"$2,948",3,No,2,17,Highly Urban/ Urban
100,507,NO,0.000,0,35,1,12,"$77,126",No,"$242,001",Yes,M,z_High School,Manager,5,Commercial,"$11,510",10,Pickup,yes,"$3,079",3,No,0,1,Highly Urban/ Urban
101,513,NO,0.000,0,35,2,0,$0,No,$0,Yes,z_F,<High School,Student,32,Private,"$4,810",1,z_SUV,no,$0,0,No,0,6,Highly Urban/ Urban
102,519,NO,0.000,1,41,3,5,"$30,043",Yes,,z_No,M,z_High School,Clerical,22,Private,"$16,860",4,Van,yes,$0,0,No,0,1,Highly Urban/ Urban
103,521,YES,"2,755.250",0,43,0,14,"$54,932",No,"$225,678",Yes,M,z_High School,Clerical,37,Commercial,"$11,290",4,Pickup,yes,"$5,076",3,No,5,1,Highly Urban/ Urban
104,522,NO,0.000,0,42,0,8,"$94,591",No,"$309,644",z_No,M,<High School,z_Blue Collar,21,Commercial,"$17,470",6,Van,yes,"$16,121",3,Yes,3,8,Highly Urban/ Urban
105,545,NO,0.000,1,56,2,17,,No,"$315,504",Yes,z_F,Bachelors,Professional,32,Private,"$28,740",1,Minivan,no,$0,0,No,1,6,Highly Urban/ Urban
106,549,NO,0.000,0,40,1,13,"$79,715",Yes,$0,z_No,z_F,Bachelors,Clerical,6,Private,"$23,140",10,Minivan,no,$0,0,No,0,7,Highly Urban/ Urban
107,551,NO,0.000,0,51,0,12,"$40,760",No,"$186,223",z_No,M,Bachelors,Professional,24,Private,"$11,880",1,Pickup,no,$0,0,No,0,8,Highly Urban/ Urban
108,556,NO,0.000,0,38,0,10,"$28,409",No,$0,z_No,M,z_High School,Clerical,27,Commercial,"$8,140",10,Pickup,yes,$0,0,No,1,7,z_Highly Rural/ Rural
109,557,NO,0.000,0,27,3,9,"$69,794",Yes,$0,z_No,z_F,Bachelors,Professional,24,Private,"$14,660",4,z_SUV,no,"$2,848",1,No,3,6,Highly Urban/ Urban
110,559,NO,0.000,1,42,2,15,"$85,408",No,"$274,402",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$20,170",10,Minivan,no,$697,2,No,0,8,Highly Urban/ Urban
111,560,YES,"2,049.795",0,55,0,11,"$3,865",No,$0,z_No,z_F,<High School,Home Maker,27,Private,"$16,600",1,z_SUV,no,"$6,089",2,Yes,0,1,Highly Urban/ Urban
112,566,NO,0.000,0,43,0,7,"$58,112",No,$0,z_No,M,Bachelors,Clerical,34,Private,"$1,500",4,Minivan,yes,$0,0,No,2,11,z_Highly Rural/ Rural
113,569,NO,0.000,0,54,0,12,"$65,298",No,"$213,225",Yes,z_F,z_High School,Clerical,5,Private,"$8,030",17,z_SUV,no,"$4,528",3,No,5,1,Highly Urban/ Urban
114,573,NO,0.000,1,37,2,9,"$54,349",No,"$212,419",Yes,z_F,z_High School,Manager,28,Private,"$10,630",13,z_SUV,no,"$1,381",1,No,4,11,Highly Urban/ Urban
115,578,NO,0.000,0,44,0,12,,No,$0,z_No,z_F,z_High School,z_Blue Collar,32,Commercial,"$10,770",1,z_SUV,no,$0,0,No,2,8,Highly Urban/ Urban
116,579,NO,0.000,0,44,2,7,"$20,324",No,"$147,038",Yes,z_F,z_High School,Clerical,20,Private,"$10,280",1,Sports Car,no,$0,0,No,0,1,z_Highly Rural/ Rural
117,582,NO,0.000,2,37,3,11,"$159,092",No,"$382,687",Yes,M,Bachelors,z_Blue Collar,29,Private,"$15,050",6,Minivan,yes,"$1,927",3,No,0,8,z_Highly Rural/ Rural
118,596,YES,"3,751.021",0,31,2,0,$0,No,$0,Yes,z_F,<High School,Student,48,Private,"$7,740",4,Sports Car,no,"$7,323",1,No,7,1,Highly Urban/ Urban
119,598,YES,"2,777.550",2,36,2,0,$0,No,"$110,346",Yes,z_F,z_High School,Home Maker,28,Private,"$5,100",4,Minivan,no,"$39,425",3,Yes,1,9,Highly Urban/ Urban
120,599,NO,0.000,0,54,0,12,"$77,267",No,$0,z_No,z_F,Bachelors,Manager,14,Private,"$14,630",1,z_SUV,no,"$8,395",2,No,0,9,Highly Urban/ Urban
121,602,NO,0.000,0,39,0,0,$0,No,$0,z_No,z_F,z_High School,Student,53,Commercial,"$5,500",1,Sports Car,no,$0,0,No,0,8,z_Highly Rural/ Rural
122,605,YES,"3,641.553",1,57,2,0,$0,No,$0,Yes,M,z_High School,Student,29,Private,"$9,240",1,Pickup,yes,"$8,336",2,Yes,5,1,Highly Urban/ Urban
123,617,NO,0.000,0,34,2,0,$0,Yes,$0,z_No,z_F,z_High School,Student,22,Private,"$11,520",9,z_SUV,no,$0,0,Yes,0,9,Highly Urban/ Urban
124,619,NO,0.000,0,48,0,10,"$7,302",No,,z_No,z_F,<High School,Student,27,Private,"$7,030",10,z_SUV,no,"$3,564",1,No,3,1,Highly Urban/ Urban
125,630,NO,0.000,0,52,0,15,"$88,691",No,"$279,497",Yes,M,Bachelors,z_Blue Collar,40,Private,"$18,200",4,Van,yes,"$1,261",4,No,2,10,Highly Urban/ Urban
126,634,YES,"3,192.787",1,58,2,17,"$3,272",No,$0,Yes,M,<High School,Student,42,Private,"$7,200",1,Minivan,yes,"$5,086",2,No,2,5,Highly Urban/ Urban
127,643,YES,"1,754.322",0,45,0,14,"$65,466",No,"$212,677",Yes,M,z_High School,z_Blue Collar,24,Commercial,"$7,080",3,Pickup,no,$0,0,No,2,1,Highly Urban/ Urban
128,645,NO,0.000,0,72,0,16,"$63,890",No,"$256,797",Yes,z_F,Masters,Lawyer,41,Private,"$9,100",7,Sports Car,no,"$4,448",3,No,0,6,Highly Urban/ Urban
129,647,NO,0.000,0,48,0,8,"$43,075",No,"$175,858",Yes,z_F,z_High School,Manager,52,Private,"$13,970",4,z_SUV,no,"$5,878",2,No,3,11,Highly Urban/ Urban
130,649,NO,0.000,0,49,0,9,"$90,658",No,"$276,028",z_No,z_F,Bachelors,z_Blue Collar,7,Commercial,"$12,350",13,Minivan,no,$0,0,No,0,7,Highly Urban/ Urban
131,656,NO,0.000,0,57,0,14,"$200,772",No,"$465,304",z_No,z_F,PhD,Doctor,27,Private,"$9,270",1,z_SUV,no,$0,0,No,0,NA,Highly Urban/ Urban
132,657,NO,0.000,0,22,0,NA,"$36,821",No,"$193,948",z_No,z_F,Masters,,23,Private,"$29,390",6,Pickup,no,"$8,502",2,No,0,20,Highly Urban/ Urban
133,658,NO,0.000,0,53,0,13,"$108,744",No,"$333,039",Yes,M,Masters,,5,Commercial,"$5,430",1,Pickup,yes,"$3,267",1,No,0,NA,Highly Urban/ Urban
134,667,NO,0.000,0,50,0,14,"$30,795",No,"$174,778",Yes,M,z_High School,Clerical,53,Commercial,"$8,920",6,Pickup,yes,$0,0,No,0,1,z_Highly Rural/ Rural
135,692,NO,0.000,0,59,0,12,"$155,410",No,"$422,815",Yes,M,Bachelors,Manager,40,Commercial,"$33,330",7,Panel Truck,yes,"$4,765",3,No,4,10,Highly Urban/ Urban
136,693,NO,0.000,0,33,3,7,,No,"$147,326",Yes,z_F,<High School,z_Blue Collar,38,Private,"$22,520",5,Minivan,no,"$3,075",1,No,6,1,Highly Urban/ Urban
137,698,YES,"5,206.254",0,48,0,11,"$26,875",No,$0,z_No,M,z_High School,Clerical,18,Commercial,"$10,450",1,Pickup,no,"$3,830",1,No,8,6,Highly Urban/ Urban
138,699,YES,"3,353.766",1,42,3,11,"$99,269",Yes,"$306,012",z_No,M,Bachelors,Professional,34,Commercial,"$25,910",7,Panel Truck,yes,"$45,894",2,Yes,1,10,Highly Urban/ Urban
139,700,NO,0.000,0,50,0,11,"$102,262",No,$0,z_No,M,z_High School,z_Blue Collar,39,Commercial,"$16,730",14,Van,yes,$0,0,No,0,8,z_Highly Rural/ Rural
140,704,NO,0.000,0,53,0,2,"$13,753",No,$0,z_No,z_F,<High School,Home Maker,49,Private,"$2,880",4,Sports Car,no,$0,0,No,1,NA,z_Highly Rural/ Rural
141,707,NO,0.000,0,49,0,9,"$60,368",No,"$170,643",Yes,M,Bachelors,Manager,16,Private,"$6,400",4,Pickup,no,$0,0,No,0,4,Highly Urban/ Urban
142,708,YES,"3,828.820",0,21,1,8,"$18,483",Yes,$0,z_No,z_F,z_High School,Clerical,20,Private,"$8,150",1,Sports Car,no,"$7,781",2,No,3,1,Highly Urban/ Urban
